date,planned_kwh,executed_normal_kwh,planned_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,cash_cost_yuan,emergency_kwh,unused_kwh,charge_kwh,discharge_kwh,up_kwh,down_kwh,initial_kwh,terminal_kwh,solver_runtime_s
2025-02-01,48492.57151816399,48492.57151816399,20562.33601235282,0.0,143.26707265269647,20705.603085005514,39.02766615872784,10153.664848218647,21051.360014582824,17051.60161181209,0.0,0.0,6000.000000000002,6000.000000000005,0.055973499998799525
2025-02-02,93216.26349409315,93216.26349409315,65590.77757011264,0.0,178.31271869474676,65769.09028880739,32.61150329588645,10322.835580824063,24051.37613981559,19481.614673250624,0.0,0.0,6000.000000000005,6000.000000000006,0.05074439999953029
2025-02-03,89823.2829019721,89823.2829019721,63892.119522154164,0.0,1230.6999608407314,65122.81948299489,287.2362806860473,5385.211070182728,23728.37690776534,19219.98529528993,0.0,0.0,6000.000000000006,6000.000000000002,0.055774899999960326
2025-02-04,88505.19798383395,88505.19798383395,62698.480607984224,0.0,6086.941616794013,68785.42222477823,1253.9894999412002,4132.033936266924,23327.839986885403,18895.550389377182,0.0,0.0,6000.000000000002,5999.9999999999945,0.05665740000040387
2025-02-05,88623.91465789393,88623.91465789393,62531.43246433245,0.0,3193.3896478895485,65724.822112222,668.7903729473314,3965.1370405851194,24100.74214169896,19521.601134776152,0.0,0.0,5999.9999999999945,5999.999999999996,0.059058400001958944
2025-02-06,88868.32124442098,88868.32124442098,62705.86218489791,0.0,2173.4913152930885,64879.353500191,460.65685544519283,4434.342957697876,24334.62066053486,19711.042735033232,0.0,0.0,5999.999999999996,6000.000000000002,0.05909089999840944
2025-02-07,43632.003127058204,43632.003127058204,18143.293950282707,0.0,928.4365463583315,19071.730496641037,186.59041802697078,8266.319830113662,19718.9160437097,15972.321995404858,0.0,0.0,6000.000000000002,6000.000000000003,0.0609057000001485
2025-02-08,41580.99860373781,41580.99860373781,17274.585863778448,0.0,869.7933539294733,18144.37921770792,223.91064499940373,6550.524190387279,19353.801798333006,15676.579456649739,0.0,0.0,6000.000000000003,6000.000000000001,0.0605838000010408
2025-02-09,85528.09476382995,85528.09476382995,59341.29270276522,0.0,5590.745953671317,64932.03865643653,1276.2342649358015,2700.667507541243,23938.13449767282,19389.888943114987,0.0,0.0,6000.000000000001,5999.999999999999,0.05943130000014207
2025-02-10,86484.05202869322,86484.05202869322,58846.87485861848,0.0,1080.8216105861743,59927.69646920465,398.94768888760404,7966.79051173991,24155.640118460935,19566.068495953354,0.0,0.0,5999.999999999999,6000.000000000002,0.05979429999933927
