name,label,cash_cost_yuan,planned_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_kwh,charge_kwh,discharge_kwh,up_kwh,down_kwh,price_mae,price_rmse,price_crps,price_coverage80,optimization_count,solver_runtime_s,normal_cost_yuan
q42_point,Q4-2 点预测,16447081.596332053,12945570.035706026,0.0,3501511.5606260267,859724.2565825076,1909437.521199139,6644534.301237471,5382072.784002352,0.0,0.0,0.0867257504336565,0.11239770337692187,0.0867257504336565,0.0,334,2.6907798000138428,12945570.035706026
q42_pair,Q4-2 成对场景 ρ=1,15207518.75301767,14200856.593934292,0.0,1006662.1590833772,247304.6560416499,3148891.4586054957,6909081.975717264,5596356.400330984,0.0,0.0,0.08521361643494958,0.1090051616679362,0.056824128967045334,0.792581503659348,334,18.94388250000702,14200856.593934292
q42_independent,Q4-2 独立边际 ρ=0,15201085.693526033,14160543.117495557,0.0,1040542.5760304752,256559.01740088913,3091102.5762139517,6900885.217900495,5589717.026499401,0.0,0.0,0.08521361643494958,0.1090051616679362,0.056824128967045334,0.792581503659348,334,18.997573999968154,14160543.117495557
q42_selected,Q4-2 历史选择（主）,15201085.693526033,14160543.117495557,0.0,1040542.5760304752,256559.01740088913,3091102.5762139517,6900885.217900495,5589717.026499401,0.0,0.0,0.08521361643494958,0.1090051616679362,0.056824128967045334,0.792581503659348,334,18.83843030000935,14160543.117495557
q42_gamma0,Q4-2 主方案 γ=0,15222179.994315788,14180774.62547228,0.0,1041405.368843508,256801.32797697443,3089435.871315706,6847048.344387819,5546109.158954133,0.0,0.0,0.08521361643494958,0.1090051616679362,0.056824128967045334,0.792581503659348,334,18.122544300047593,14180774.62547228
q43_point,Q4-3 点预测,16057732.54909621,13052635.175909432,252041.74447136954,2753055.6287154085,674892.9401807761,1792503.4449798763,6735921.025000633,5456096.030250512,425323.860377205,561339.584627832,0.059206445240822914,0.07960733632727829,0.059206445240822914,0.0,1336,8.62279829997351,13304676.920380801
q43_no_price_correction,Q4-3 不修正日内电价,14998674.505445084,14400115.01919117,-104246.03151083387,702805.5177647461,176862.4518515076,2707856.3263816703,6829721.117020935,5532074.104786958,145562.98696431,759332.2958977281,0.08521361643494961,0.10900516166793617,0.05682412896704541,0.792581503659348,1336,47.29112769991116,14295868.987680336
q43_common,Q4-3 共同动作 K=1（主）,14997167.509534247,14400074.377561195,-102744.02755721351,699837.1595302657,176238.16139008614,2714732.8099594573,6841635.465844158,5541724.727333768,145259.30838251195,749150.5772414721,0.06056465985992862,0.08070007813818662,0.04172573678569468,0.7857202262142382,1336,47.4765035999917,14297330.350003982
q43_lookahead_k2,Q4-3 分组前瞻 K=2,14994816.57139606,14402896.901787113,-105982.8226608723,697902.4922698193,176034.03759750447,2717285.175876451,6844470.79196226,5544021.3414894305,142027.22065720428,740618.8843511257,0.06056465985992862,0.08070007813818662,0.04172573678569468,0.7857202262142382,1336,51.66746060017249,14296914.07912624
q43_lookahead_k3,Q4-3 分组前瞻 K=3,14988962.392551491,14363360.088969233,-74879.34472928815,700481.648311546,177451.7578045281,2703500.9193438943,6839008.705791234,5539597.0516909,165262.57262495282,692970.37383046,0.06056465985992862,0.08070007813818662,0.04172573678569468,0.7857202262142382,1336,53.479294799952186,14288480.744239945
q43_gamma0,Q4-3 主方案 γ=0,15019015.847429438,14420599.316050196,-102872.93718349036,701289.4685627323,176716.7954601264,2712421.5308459853,6784534.23373449,5495472.729324938,145487.85780629382,750578.026817448,0.06056465985992862,0.08070007813818662,0.04172573678569468,0.7857202262142382,1336,46.091355099953944,14317726.378866706
