mode,month,cash_cost_yuan,emergency_kwh
q42,2,1329761.529478843,15829.846947756178
q42,3,1224893.2252562991,27366.51281177778
q42,4,994668.0687844371,20214.931306083632
q42,5,1035161.1029141113,23299.656148037575
q42,6,1546686.1582767314,36213.65100961793
q42,7,1806713.9094522265,34515.24259883739
q42,8,1506251.3349963722,24486.324552754813
q42,9,1231838.284060634,29689.815299312777
q42,10,1186361.6739237204,15172.60029880672
q42,11,1375774.904575066,12224.283036158637
q42,12,1962975.5018075919,17546.15339174568
q43,2,1329786.0146494645,11781.872449465838
q43,3,1183870.7215563883,13381.459408412356
q43,4,971475.4311809847,11916.53229772297
q43,5,1010211.6838910981,15499.232800877498
q43,6,1472130.8853582426,20205.7887867934
q43,7,1802082.6064904241,27162.146702868635
q43,8,1483942.8577739082,14462.16810838044
q43,9,1226086.7249341088,26351.785575965947
q43,10,1179980.7285934454,9952.604946731515
q43,11,1370091.6909312548,8738.379751588083
q43,12,1967508.1641749272,16786.190561279444
