date,planned_purchase_kwh,emergency_purchase_kwh,planned_plus_emergency_kwh,planned_cost_yuan,emergency_cost_yuan,actual_total_cost_yuan,initial_kwh,terminal_kwh,total_unused_kwh
2025-02-01,83526.29018955535,0.0,83526.29018955535,53376.80503365728,0.0,53376.80503365728,6000.0,1200.0,49794.71648204527
2025-02-02,89271.69260944652,205.72119803845146,89477.41380748496,56115.40985550906,1198.2768922948317,57313.68674780389,1200.0,1200.000000000004,6407.397848684308
2025-02-03,89715.86044936566,246.85654769940203,89962.71699706506,56547.25691738943,920.732001493182,57467.98891888261,1200.000000000004,1200.0,5038.516415450428
2025-02-04,90620.47058375609,406.3046016292747,91026.77518538537,57260.074715156275,1510.3665170505476,58770.441232206824,1200.0,1199.9999999999998,5115.390799863054
2025-02-05,91330.03632112133,277.16274796427126,91607.1990690856,57867.399380994706,891.6043944398245,58759.00377543453,1199.9999999999998,1200.0000000000016,6141.292394304581
2025-02-06,92088.17361324318,17.450017926178816,92105.62363116936,58506.3255230172,38.64171280118886,58544.96723581839,1200.0000000000016,1200.0000000000011,7116.233081169368
2025-02-07,88124.36894497873,0.0,88124.36894497873,55359.63235377544,0.0,55359.63235377544,1200.0000000000011,1200.000000000001,51659.504345844645
2025-02-08,84183.81892090724,0.0,84183.81892090724,52344.56727571995,0.0,52344.56727571995,1200.000000000001,1200.000000000005,48019.79092455389
2025-02-09,85208.67869966381,1507.5406929858577,86716.21939264967,53192.89338553634,5411.0354132791335,58603.928798815476,1200.000000000005,1199.9999999999973,2549.9978229209273
2025-02-10,85993.87608459384,231.72904788113817,86225.60513247497,53813.58749391532,871.5419019050566,54685.129395820375,1199.9999999999973,1200.0000000000011,7271.663993531608
2025-02-11,86385.47799153157,83.14873411501935,86468.6267256466,54154.143017067196,368.7224124533288,54522.86542952053,1200.0000000000011,1199.9999999999977,6606.477175873446
2025-02-12,86592.87821159435,75.52098929867236,86668.39920089302,54373.65997231555,304.0552242639046,54677.715196579455,1199.9999999999977,1199.9999999999927,6772.301685890977
2025-02-13,86940.96591347763,120.7491464928818,87061.7150599705,54703.17084751751,277.722148923472,54980.89299644098,1199.9999999999927,1200.0,11092.902680161289
2025-02-14,82309.63732369486,0.0,82309.63732369486,51236.396476875736,0.0,51236.396476875736,1200.0,1199.9999999999986,48079.05069008417
2025-02-15,78744.12575101346,0.0,78744.12575101346,48442.06912377639,0.0,48442.06912377639,1199.9999999999986,1199.9999999999973,45062.3679843468
2025-02-16,80026.55685768524,1612.6855443995637,81639.2424020848,49440.51105905367,6386.634359908119,55827.145418961794,1199.9999999999973,1200.0000000000027,1860.1966354181266
2025-02-17,80660.99466564343,461.33239154805153,81122.32705719149,49968.16808058647,1856.4110126338649,51824.57909322033,1200.0000000000027,1200.0000000000014,5536.797223858153
2025-02-18,81050.95835135703,192.63996063525724,81243.59831199229,50292.46399370626,779.4114219013427,51071.8754156076,1200.0000000000014,1200.000000000001,4750.5438619922825
2025-02-19,81610.28446896066,617.9840919821742,82228.26856094283,50760.213801098515,1994.6622124665475,52754.87601356506,1200.000000000001,1200.0000000000027,4947.2745109428215
2025-02-20,81957.36215604033,277.2237467898277,82234.58590283015,51081.65712404743,1045.4405670305732,52127.097691078,1200.0000000000027,1199.999999999998,6839.785502830154
2025-02-21,77934.1797573145,0.0,77934.1797573145,47997.28634965742,0.0,47997.28634965742,1199.999999999998,1199.9999999999986,47963.248911028255
2025-02-22,74341.9823020184,28.843712083742616,74370.82601410215,45254.62256703921,61.66785643504171,45316.29042347425,1199.9999999999986,1199.999999999998,42153.301482909934
2025-02-23,75796.97159330001,2020.517786203738,77817.48937950375,46356.4612570102,7447.044960265674,53803.50621727588,1199.999999999998,1199.999999999999,1893.2565479628508
2025-02-24,76282.25085933474,734.0983775277743,77016.34923686252,46777.9886264977,3165.2991158040386,49943.28774230174,1199.999999999999,1199.9999999999968,4425.938663749761
2025-02-25,76853.85646969148,446.4581421522114,77300.3146118437,47296.157450485334,1510.8212433892124,48806.978693874546,1199.9999999999968,1200.0,7088.439784154246
2025-02-26,76738.23982843767,625.486305766244,77363.72613420391,47337.31378291379,2142.698334634784,49480.01211754858,1200.0,1200.0000000000005,4168.618625310911
2025-02-27,77331.08980097185,269.0764397043585,77600.1662406762,47777.19974438472,1260.9183925185403,49038.118136903264,1200.0000000000005,1199.9999999999984,6255.95570466625
2025-02-28,73431.80128616013,0.0,73431.80128616013,44874.666306175044,0.0,44874.666306175044,1199.9999999999984,1199.9999999999995,45805.73951496475
2025-03-01,70111.10511598992,0.0,70111.10511598992,42433.862616378334,0.0,42433.862616378334,1199.9999999999995,1200.0000000000002,42283.62071045142
2025-03-02,71376.05586372562,6622.918044520911,77998.97390824652,43364.93548739457,25546.508855276792,68911.44434267137,1200.0000000000002,1200.0000000000036,1387.2829975332986
2025-03-03,72980.85171410973,4847.055997042136,77827.90771115186,44517.46320463848,19757.708688983435,64275.17189362191,1200.0000000000036,1200.000000000001,1491.6324139223202
2025-03-04,74568.2294475777,1483.1416495926394,76051.37109717034,45707.75223832522,5023.405537803024,50731.157776128246,1200.000000000001,1200.0000000000025,2459.9017199514446
2025-03-05,75907.58644493025,471.51187722325596,76379.0983221535,46661.64635238192,1982.1936218644423,48643.83997424636,1200.0000000000025,1199.9999999999986,5834.51654302016
2025-03-06,76112.49193054112,290.8529465468946,76403.344877088,46930.32364234883,1057.1712884457195,47987.49493079455,1199.9999999999986,1199.9999999999995,6038.789440396796
2025-03-07,72292.79350367287,0.0,72292.79350367287,44073.419750011264,0.0,44073.419750011264,1199.9999999999995,1200.0000000000007,47095.66100338587
2025-03-08,68886.20794025014,0.0,68886.20794025014,41574.29116353895,0.0,41574.29116353895,1200.0000000000007,1200.0000000000027,45645.40100661573
2025-03-09,70089.2606194953,974.6138598873273,71063.87447938262,42455.03644325679,3927.7789272208774,46382.81537047766,1200.0000000000027,1200.0000000000005,3528.0388856516633
2025-03-10,70508.28664099352,3444.5656332461645,73952.85227423969,42891.92344470024,10907.971353575016,53799.89479827526,1200.0000000000005,1199.9999999999995,1707.8323108720188
2025-03-11,72118.70954914059,709.3756577440063,72828.0852068846,43987.976116075355,2660.659216022173,46648.635332097525,1199.9999999999995,1200.0000000000018,4658.736571767281
2025-03-12,72890.43708957154,284.66170770998747,73175.09879728153,44579.689493550184,777.1275067441675,45356.81700029435,1200.0000000000018,1200.0000000000055,6490.5839870714435
2025-03-13,73286.60728755035,2717.854958210999,76004.46224576134,44924.45408384707,9456.640003169356,54381.09408701643,1200.0000000000055,1199.999999999999,4212.247254305815
2025-03-14,70485.43396644402,0.0,70485.43396644402,42684.931357979236,0.0,42684.931357979236,1199.999999999999,1199.9999999999995,50288.25602345931
2025-03-15,66937.17311949722,16.064885166832255,66953.23800466406,40065.05753477849,34.34672448668736,40099.404259265175,1199.9999999999995,1200.0000000000014,41900.91612251943
2025-03-16,68320.64047417828,2048.223688198721,70368.864162377,41076.193651012116,8195.461747687374,49271.65539869949,1200.0000000000014,1200.0000000000034,2870.0804742685095
2025-03-17,69538.39299410717,384.4156838780966,69922.80867798526,41984.693407243874,1632.346102724372,43617.03950996825,1200.0000000000034,1200.0000000000036,7895.079065586915
2025-03-18,69684.34161392834,665.3433299252603,70349.6849438536,42166.87162253666,2982.157265725874,45149.02888826253,1200.0000000000036,1200.000000000004,5057.032908866662
2025-03-19,70324.43420744689,266.3527728507487,70590.78698029763,42688.61034220599,1060.767266970226,43749.37760917621,1200.000000000004,1200.0000000000023,6952.218675961261
2025-03-20,70997.05661331884,252.82764396745836,71249.88425728629,43221.99145434535,907.726999248639,44129.71845359399,1200.0000000000023,1199.9999999999986,4864.485397585069
2025-03-21,67382.55123070793,0.0,67382.55123070793,40555.29391558681,0.0,40555.29391558681,1199.9999999999986,1200.0000000000036,51215.29077835773
2025-03-22,63922.9145791366,15.36822546155281,63938.28280459816,38035.93310824467,32.857266036799906,38068.790374281474,1200.0000000000036,1200.0,43958.35177589397
2025-03-23,65088.2199526412,1762.3041546019,66850.5241072431,38912.077773801015,6912.469186451419,45824.54696025243,1200.0,1200.0000000000007,3968.690853675446
2025-03-24,65850.40090870204,838.1711346582072,66688.57204336024,39519.085638294135,2901.1922492567305,42420.27788755087,1200.0000000000007,1200.0000000000002,4588.139547916041
2025-03-25,66774.49327057379,1728.9323790874582,68503.42564966125,40221.05346342357,6732.370817291427,46953.42428071499,1200.0000000000002,1200.000000000003,3429.2254189175515
2025-03-26,68055.60077538752,280.4426534100228,68336.04342879754,41112.21500419533,842.3883503577769,41954.6033545531,1200.000000000003,1200.0,8615.794179601668
2025-03-27,68695.18180111761,343.2579032647854,69038.4397043824,41608.79203767351,928.903597702383,42537.695635375894,1200.0,1200.0000000000018,6201.067447211302
2025-03-28,64743.90497526353,0.0,64743.90497526353,38746.8002414668,0.0,38746.8002414668,1200.0000000000018,1199.999999999998,49828.63110657773
2025-03-29,61814.65650110111,0.0,61814.65650110111,36620.54563113078,0.0,36620.54563113078,1199.999999999998,1200.0000000000005,50036.84528919439
2025-03-30,62391.92625994164,1151.7367216534378,63543.66298159508,37117.93117365406,4284.70554057486,41402.636714228924,1200.0000000000005,1199.9999999999998,4131.311002057544
2025-03-31,62805.824709558685,2000.2756140444694,64806.100323603154,37529.11296210588,7844.291783262643,45373.40474536852,1199.9999999999998,1199.9999999999995,3779.5400296483654
2025-04-01,63689.51661410909,3189.362886700965,66878.87950081006,38127.13034498739,8895.436150766753,47022.566495754145,1199.9999999999995,1200.000000000003,2585.8890435095236
2025-04-02,64885.246128572086,3172.979443427504,68058.22557199959,38883.62594166444,12000.448919773651,50884.07486143809,1200.000000000003,1200.0000000000005,3526.643912228439
2025-04-03,66511.18878746097,417.549049042925,66928.73783650389,39966.43757356989,1752.1115978368553,41718.54917140675,1200.0000000000005,1199.9999999999986,6962.918332486495
2025-04-04,63141.64026439797,0.0,63141.64026439797,37525.96263386276,0.0,37525.96263386276,1199.9999999999986,1200.000000000003,52633.185425521675
2025-04-05,59490.987728143235,0.0,59490.987728143235,35152.44308858145,0.0,35152.44308858145,1200.000000000003,1200.0000000000039,43509.89776516786
2025-04-06,60927.16679086975,1225.380298034509,62152.547088904255,36078.45689755791,4578.123909510179,40656.58080706809,1200.0000000000039,1200.000000000005,3747.624514297053
2025-04-07,62288.956564663065,630.876942766116,62919.83350742918,36976.04144232202,1876.910443510632,38852.951885832656,1200.000000000005,1200.0000000000018,5635.544276142148
2025-04-08,63116.869795595005,910.0390002528817,64026.908795847885,37484.70305667029,4015.5639400112996,41500.26699668159,1200.0000000000018,1200.0000000000018,5604.6688948485435
2025-04-09,63856.17133636093,2094.0256248070004,65950.19696116794,38076.616995595454,6794.220996147782,44870.83799174323,1200.0000000000018,1200.000000000002,2733.5268303895828
2025-04-10,65285.406113713994,511.0410525353363,65796.44716624933,39007.556426886134,2232.612559785714,41240.16898667185,1200.000000000002,1200.000000000001,7236.937609348764
2025-04-11,61210.40143226151,0.0,61210.40143226151,36324.33265541661,0.0,36324.33265541661,1200.000000000001,1200.0000000000018,51868.01252973886
2025-04-12,57822.88749248628,0.0,57822.88749248628,34175.12007648094,0.0,34175.12007648094,1200.0000000000018,1200.0000000000018,44952.1203748638
2025-04-13,58991.81918504575,1539.5689479015655,60531.388132947315,34926.94542770526,6275.289683828649,41202.235111533904,1200.0000000000018,1200.0000000000036,2385.1935507801636
2025-04-14,60279.5256637883,760.2676884318366,61039.793352220135,35758.480274142545,2617.315214963408,38375.79548910595,1200.0000000000036,1199.9999999999986,4596.835209066714
2025-04-15,61561.78995195176,469.11229857043753,62030.902250522195,36530.80389235977,2033.2480358820324,38564.0519282418,1199.9999999999986,1200.000000000001,7887.207027769541
2025-04-16,62491.89135660065,1041.2636490757332,63533.15500567639,37157.608205712255,3112.9116649826838,40270.51987069494,1200.000000000001,1200.0,3738.916998225034
2025-04-17,63668.451327158335,162.01912766641487,63830.47045482475,37911.11451521967,533.2659586773196,38444.38047389699,1200.0,1200.0000000000027,6912.37693228695
2025-04-18,59718.19594031141,0.0,59718.19594031141,35380.96313852055,0.0,35380.96313852055,1200.0000000000027,1200.0000000000002,49524.11803140449
2025-04-19,56608.457904041716,5.309377004828434,56613.767281046545,33382.76312540054,11.351448036323191,33394.11457343686,1200.0000000000002,1199.9999999999995,46151.54805136329
2025-04-20,57903.351389130505,1452.3785812916667,59355.72997042217,34197.57350243884,6366.0162393754035,40563.58974181424,1199.9999999999995,1200.0000000000052,3654.2244466714965
2025-04-21,59127.20171075951,564.6790493086669,59691.880760068176,34923.1633933364,1783.2366195800112,36706.40001291641,1200.0000000000052,1200.0000000000016,7362.365325187346
2025-04-22,59756.45147028418,800.0684392716776,60556.51990955586,35401.524137793844,2796.340059008994,38197.86419680284,1200.0000000000016,1199.9999999999993,4582.198434652107
2025-04-23,61105.51240531346,368.0504303111623,61473.562835624616,36181.12371496962,1029.8351317174095,37210.95884668703,1199.9999999999993,1200.0000000000018,6191.653318163208
2025-04-24,61827.896199468734,14.54855899832387,61842.444758467056,36677.17266989921,78.19794112401209,36755.37061102322,1200.0000000000018,1200.0000000000014,10845.37072593435
2025-04-25,57616.132325407365,0.0,57616.132325407365,34010.09006610294,0.0,34010.09006610294,1200.0000000000014,1200.000000000004,51911.94485552254
2025-04-26,54430.28784585252,0.0,54430.28784585252,31919.969554751733,0.0,31919.969554751733,1200.000000000004,1200.000000000003,50663.06962545161
2025-04-27,55390.393890351246,1721.929352829221,57112.323243180464,32606.145784040007,7247.765961264258,39853.91174530426,1200.000000000003,1200.0000000000061,4802.175802457832
2025-04-28,56492.64859713841,5402.038613156328,61894.68721029474,33388.861677107314,19879.26385982985,53268.125536937165,1200.0000000000061,1200.0000000000039,1477.8411246355618
2025-04-29,58642.7963089727,720.1938404619003,59362.9901494346,34680.88085164743,2981.8753894594856,37662.756241106916,1200.0000000000039,1200.0,8204.183706742784
2025-04-30,59436.27163426658,603.2205766042265,60039.492210870805,35272.45087100558,1788.0874561930088,37060.53832719859,1200.0,1200.0000000000014,8037.360781632446
2025-05-01,59496.70934004794,2324.803214662027,61821.51255470997,35414.682298101834,10985.17800043348,46399.86029853531,1200.0000000000014,1200.0000000000039,7094.983751039123
2025-05-02,56442.58776755577,0.0,56442.58776755577,33547.59307153942,0.0,33547.59307153942,1200.0000000000039,1200.0000000000048,38426.097781708704
2025-05-03,54113.40732108202,8.4495028980906,54121.85682398011,32135.616383285826,18.0650371961177,32153.681420481942,1200.0000000000048,1200.0000000000075,41651.81783525625
2025-05-04,56070.00084259409,3417.243667925831,59487.24451051992,33389.56679795405,13811.404972821676,47200.97177077573,1200.0000000000075,1200.0000000000014,4076.4360826952848
2025-05-05,57858.38185137804,3640.325783891486,61498.70763526953,34527.84732306759,16235.529230496035,50763.37655356362,1200.0000000000014,1200.0000000000045,2740.4905726800707
2025-05-06,59486.292266372155,2178.0651447811592,61664.357411153316,35711.787114823164,9289.84899296254,45001.6361077857,1200.0000000000045,1199.9999999999952,5151.862713013416
2025-05-07,61304.81625119861,1612.7653101117671,62917.58156131038,36811.271747776875,7288.947601029533,44100.21934880641,1199.9999999999952,1199.9999999999982,4093.375363023542
2025-05-08,62578.19048181278,1809.7623127835955,64387.95279459638,37881.72377719887,6596.482276646899,44478.20605384577,1199.9999999999982,1199.9999999999982,4723.997888136935
2025-05-09,60228.14374668014,0.0,60228.14374668014,36268.28431307294,0.0,36268.28431307294,1199.9999999999982,1200.000000000004,48038.49473981127
2025-05-10,57193.68867057463,0.0,57193.68867057463,34330.053162989774,0.0,34330.053162989774,1200.000000000004,1199.9999999999973,41390.96135722031
2025-05-11,58967.684031371886,2583.4148687041898,61551.098900076075,35483.386588835485,10496.475222278696,45979.861811114184,1199.9999999999973,1200.0000000000045,2406.2233210129316
2025-05-12,61239.92113412937,1591.9290352621786,62831.850169391546,36866.6224486773,5157.475668752053,42024.098117429356,1200.0000000000045,1200.0000000000027,7168.528751898762
2025-05-13,62198.631257483175,449.00580506300605,62647.63706254618,37597.789863290665,1712.0994925856212,39309.88935587629,1200.0000000000027,1200.0000000000018,5793.115163493652
2025-05-14,63514.37660065168,367.8796201409778,63882.25622079266,38452.260046709634,1131.7027880362305,39583.962834745864,1200.0000000000018,1200.000000000002,7097.316319760977
2025-05-15,64560.3304192951,400.6117504676538,64960.94216976275,39170.826456718605,1512.453936667605,40683.28039338621,1200.000000000002,1200.0000000000061,8383.834145857329
2025-05-16,61368.896884582864,0.0,61368.896884582864,37097.63758730386,0.0,37097.63758730386,1200.0000000000061,1200.0000000000027,54990.788832774495
2025-05-17,58050.12468171629,0.0,58050.12468171629,34941.68226861253,0.0,34941.68226861253,1200.0000000000027,1200.0,43998.114440495214
2025-05-18,59557.73503151364,1867.0592531031255,61424.79428461677,35977.05519764348,5550.05941072417,41527.11460836765,1200.0,1200.0000000000018,4208.951707841487
2025-05-19,61209.221115425484,284.3325496177821,61493.55366504326,36974.01795546322,1429.43082594928,38403.4487814125,1200.0000000000018,1200.0000000000018,10387.53276921658
2025-05-20,61902.556900210635,1268.4618511249028,63171.018751335534,37505.64113007146,5026.93777821251,42532.57890828397,1200.0000000000018,1200.0000000000023,4998.624513700705
2025-05-21,63668.655371185116,650.119040970896,64318.77441215601,38568.00424437529,2179.4661598632847,40747.47040423857,1200.0000000000023,1200.000000000006,9277.494950226657
2025-05-22,64654.27719009175,56.497109783869476,64710.77429987562,39292.68365895702,308.90347312763106,39601.587132084656,1200.000000000006,1200.0,10174.143719226968
2025-05-23,60995.164929753504,0.0,60995.164929753504,36978.42336926318,0.0,36978.42336926318,1200.0,1200.0000000000032,51034.90741218169
2025-05-24,58479.48964085012,0.0,58479.48964085012,35272.54108565167,0.0,35272.54108565167,1200.0000000000032,1199.9999999999982,51209.53349516513
2025-05-25,59486.07178987174,649.314833373639,60135.38662324538,35936.08603410491,2755.836144634389,38691.9221787393,1199.9999999999982,1200.0000000000005,8031.264812369858
2025-05-26,60213.06132943685,2083.315392009001,62296.37672144585,36531.30270136296,7186.113763268937,43717.4164646319,1200.0000000000005,1200.000000000005,4170.472209518664
2025-05-27,61566.48623509935,213.39440704975715,61779.88064214911,37390.20650751988,547.0623094466011,37937.268816966476,1200.000000000005,1199.9999999999986,8808.932368633838
2025-05-28,62337.30963859099,897.4297245770986,63234.73936316809,37912.92316235107,2472.233363300943,40385.15652565201,1199.9999999999986,1199.999999999999,7352.278471375552
2025-05-29,63600.12960575297,520.304778426924,64120.43438417989,38659.01405102917,1802.7372390151068,40461.751290044274,1199.999999999999,1200.0000000000014,6337.961806104201
2025-05-30,60478.431099549736,0.0,60478.431099549736,36571.218134596755,0.0,36571.218134596755,1200.0000000000014,1199.9999999999977,50325.32753822966
2025-05-31,57555.449374316886,106.72492113099634,57662.17429544788,34641.07363791425,228.17788137807017,34869.25151929232,1199.9999999999977,1200.0000000000036,45711.20037629941
2025-06-01,59051.57644170833,15969.626720586553,75021.20316229489,35591.05141186887,62502.02015123576,98093.07156310463,1200.0000000000036,1200.0000000000045,221.48474997295853
2025-06-02,63012.87106246353,11045.550663358856,74058.42172582238,37990.99792020298,45604.86101205456,83595.85893225754,1200.0000000000045,1200.000000000005,1761.4904876148378
2025-06-03,65857.88530078054,6895.841031632906,72753.72633241345,39911.36938947139,29015.323277276093,68926.69266674748,1200.000000000005,1200.000000000001,792.3292219422899
2025-06-04,69306.33942561742,5483.46657796044,74789.80600357786,42158.49692539552,19302.650570410475,61461.147495806,1200.000000000001,1200.0000000000023,1155.6574810592458
2025-06-05,72486.71806479066,4253.50703909759,76740.22510388825,44255.71416538782,16331.714048264364,60587.42821365219,1200.0000000000023,1199.9999999999982,1474.5855661356168
2025-06-06,71371.49908550482,0.0,71371.49908550482,43449.88183973162,0.0,43449.88183973162,1199.9999999999982,1199.9999999999977,36449.0539591268
2025-06-07,70026.03707957672,28.554151607282733,70054.59123118401,42425.077340197946,61.048776136370485,42486.126116334315,1199.9999999999977,1199.999999999999,34899.05330643564
2025-06-08,73726.87672434669,1987.9217458582166,75714.7984702049,44929.59284624996,8033.191995003205,52962.78484125316,1199.999999999999,1200.0000000000005,6325.344806617154
2025-06-09,75360.03494692809,2813.3370077167533,78173.37195464484,46218.510198037795,11239.842839102132,57458.353037139925,1200.0000000000005,1200.0,3014.5283010219564
2025-06-10,77782.3082947438,1799.5650674478877,79581.87336219168,48092.47724683408,6729.526499003826,54822.00374583791,1200.0,1199.9999999999995,3711.653393393366
2025-06-11,80430.84401161163,3395.138443037011,83825.98245464863,50014.21189569103,15011.494815947663,65025.70671163869,1199.9999999999995,1199.999999999999,3462.9747716505217
2025-06-12,83415.37092843503,539.4713157886699,83954.8422442237,52356.850049836845,2251.3864323764474,54608.236482213295,1199.999999999999,1199.9999999999986,7153.43516867555
2025-06-13,81180.6586394633,0.0,81180.6586394633,50605.24913715554,0.0,50605.24913715554,1199.9999999999986,1200.0,48486.70000958777
2025-06-14,78939.81691292685,0.0,78939.81691292685,48861.26575332931,0.0,48861.26575332931,1200.0,1200.0000000000014,48439.7833358227
2025-06-15,80777.83495715863,444.2339593314804,81222.06891649011,50227.77073270851,1909.0091583833778,52136.77989109189,1200.0000000000014,1199.999999999999,6263.612359865581
2025-06-16,82658.91003129256,554.8625018912185,83213.77253318377,51751.58330614376,1972.7121013146927,53724.29540745845,1199.999999999999,1199.9999999999986,6147.772215344237
2025-06-17,84628.6048442251,1165.807185463972,85794.41202968908,53201.332173675364,4742.173341107982,57943.50551478335,1199.9999999999986,1200.0000000000018,6721.637241508441
2025-06-18,87116.17878773817,66.5899053863943,87182.76869312457,55047.20792058481,167.40223671921368,55214.61015730403,1200.0000000000018,1200.0000000000014,11661.030963381405
2025-06-19,88316.87817328214,46.497491535524844,88363.37566481766,55938.68970982248,203.8976181731415,56142.58732799562,1200.0000000000014,1200.0000000000027,15458.361881757011
2025-06-20,84926.01957051127,0.0,84926.01957051127,53441.76118207327,0.0,53441.76118207327,1200.0000000000027,1200.0000000000005,58081.83482675934
2025-06-21,81731.44108368989,0.0,81731.44108368989,50918.55336457913,0.0,50918.55336457913,1200.0000000000005,1200.0,58015.38267019717
2025-06-22,82770.65304852597,115.73090210183102,82886.3839506278,51764.48265083752,371.096855459179,52135.5795062967,1200.0,1199.9999999999995,11026.674448538206
2025-06-23,84398.62982749945,71.9311275073191,84470.56095500676,53001.856166849146,186.73276683128978,53188.58893368043,1199.9999999999995,1199.999999999999,12956.538329845165
2025-06-24,85581.24055658518,1729.9066855774126,87311.1472421626,53941.01922116663,7402.285491242315,61343.30471240894,1199.999999999999,1199.9999999999986,6547.396531632647
2025-06-25,87879.52212168556,354.1023264670142,88233.62444815256,55586.09579274765,1075.9083475916723,56662.00414033932,1199.9999999999986,1199.9999999999982,13124.501038728647
2025-06-26,88846.74595662236,0.0,88846.74595662236,56339.70559049563,0.0,56339.70559049563,1199.9999999999982,1200.0000000000014,16604.287471288422
2025-06-27,85287.75890866926,0.0,85287.75890866926,53668.630324332276,0.0,53668.630324332276,1200.0000000000014,1200.000000000001,60957.297866123285
2025-06-28,81583.58998190501,0.0,81583.58998190501,50880.747954462044,0.0,50880.747954462044,1200.000000000001,1199.9999999999986,55394.318287590526
2025-06-29,83096.61864499752,356.5536634825703,83453.17230848009,52064.39890323316,1019.5867223325649,53083.98562556572,1199.9999999999986,1200.0000000000036,9736.363447609738
2025-06-30,83508.73306590674,570.3138789845839,84079.04694489132,52387.36504372403,2151.56197231104,54538.92701603507,1200.0000000000036,1200.0000000000014,9745.190791616416
2025-07-01,84657.46225892846,5164.427076310631,89821.88933523909,53119.1549849471,17266.02962290003,70385.18460784713,1200.0000000000014,1200.0000000000027,6394.903074015368
2025-07-02,86027.37412983947,4025.597733816547,90052.97186365603,54123.311049605625,13003.033479935122,67126.34452954074,1200.0000000000027,1199.9999999999986,12593.16841149079
2025-07-03,86697.40943676641,3729.023186951498,90426.4326237179,54681.328861535716,13047.511747909644,67728.84060944535,1199.9999999999986,1200.0,6124.065631994217
2025-07-04,83470.54935755645,0.0,83470.54935755645,52232.3028436026,0.0,52232.3028436026,1200.0,1199.9999999999995,50249.756027362215
2025-07-05,80721.01408122861,15.704503774876457,80736.71858500349,50138.885818137656,33.57622907068586,50172.46204720834,1199.9999999999995,1200.0000000000045,47640.64927881326
2025-07-06,82537.57256613951,4551.120661607978,87088.69322774748,51490.297205505616,17889.127800010996,69379.42500551662,1200.0000000000045,1200.0000000000023,2978.7125649188774
2025-07-07,85026.57439195139,2136.930227850699,87163.50461980209,53425.868708420225,6639.66889769712,60065.537606117345,1200.0000000000023,1200.0,9385.574573167218
2025-07-08,86938.69247191782,1591.072847456992,88529.76531937481,54774.31731915391,6156.194750505929,60930.51206965984,1200.0,1200.0000000000014,8592.321748176775
2025-07-09,87785.75611304128,538.108936254974,88323.86504929625,55554.19962403662,2171.5430412519427,57725.74266528856,1200.0000000000014,1200.0000000000027,9922.198625480372
2025-07-10,88504.37668964884,447.16785562325157,88951.54454527209,56103.54547434187,1374.7421771298498,57478.28765147171,1200.0000000000027,1199.9999999999968,11749.998753543643
2025-07-11,84632.97205537191,0.0,84632.97205537191,53202.48142253352,0.0,53202.48142253352,1199.9999999999968,1200.0,47839.198896681395
2025-07-12,82129.39621641877,0.0,82129.39621641877,51218.1228194627,0.0,51218.1228194627,1200.0,1199.9999999999977,46800.60478328484
2025-07-13,84185.27245101928,505.22723034660476,84690.49968136588,52750.70145690328,2372.5589952907458,55123.26045219403,1199.9999999999977,1200.000000000001,11168.475057423444
2025-07-14,84433.15010210924,389.72815293197357,84822.87825504121,53050.84150025835,1835.845246238514,54886.68674649687,1200.000000000001,1199.9999999999986,8746.539117989796
2025-07-15,85368.14449812463,1119.077563764983,86487.22206188961,53861.20191660899,3138.410881204006,56999.612797812995,1199.9999999999986,1199.9999999999982,9499.043587412169
