config_id,mode,gamma,total_fee_yuan,daylight_crps_kw,exponential_eligible
w14_s3_b3,binned,0.0,675631.2445364532,144.70247775785975,False
w14_s3_b3,binned,0.41255555555555556,675648.1187226466,144.70247775785975,False
w14_s3_b3,binned,0.8251111111111111,674801.2579098645,144.70247775785975,False
w14_s3_b3,exponential,0.0,675791.1948392517,143.37558335038034,False
w14_s3_b3,exponential,0.41255555555555556,675808.0690254451,143.37558335038034,False
w14_s3_b3,exponential,0.8251111111111111,674961.2081817054,143.37558335038034,False
w14_s3_b3,pooled,0.0,675696.4971993475,143.20270175807616,False
w14_s3_b3,pooled,0.41255555555555556,675713.3713855409,143.20270175807616,False
w14_s3_b3,pooled,0.8251111111111111,674866.5105727589,143.20270175807616,False
w14_s3_b6,binned,0.0,675321.2781024672,143.5074368573414,False
w14_s3_b6,binned,0.41255555555555556,675338.1521527147,143.5074368573414,False
w14_s3_b6,binned,0.8251111111111111,674491.2926997476,143.5074368573414,False
w14_s3_b6,exponential,0.0,675511.2727024448,142.80851931862378,False
w14_s3_b6,exponential,0.41255555555555556,675528.1467526923,142.80851931862378,False
w14_s3_b6,exponential,0.8251111111111111,674681.2872997255,142.80851931862378,False
w14_s3_b6,pooled,0.0,675407.7501560567,142.4802630961183,False
w14_s3_b6,pooled,0.41255555555555556,675424.6242063042,142.4802630961183,False
w14_s3_b6,pooled,0.8251111111111111,674577.7647533373,142.4802630961183,False
w14_s7_b3,binned,0.0,675567.6805861162,144.07475837916797,False
w14_s7_b3,binned,0.41255555555555556,675584.1958436929,144.07475837916797,False
w14_s7_b3,binned,0.8251111111111111,674739.232842571,144.07475837916797,False
w14_s7_b3,exponential,0.0,675597.7974789492,142.84719262633635,False
w14_s7_b3,exponential,0.41255555555555556,675614.312736526,142.84719262633635,False
w14_s7_b3,exponential,0.8251111111111111,674769.3651475001,142.84719262633635,False
w14_s7_b3,pooled,0.0,675567.9320996341,142.6793280444046,False
w14_s7_b3,pooled,0.41255555555555556,675584.4473572108,142.6793280444046,False
w14_s7_b3,pooled,0.8251111111111111,674739.4843560889,142.6793280444046,False
w14_s7_b6,binned,0.0,675252.2556554948,142.94211009286536,False
w14_s7_b6,binned,0.41255555555555556,675268.7708030201,142.94211009286536,False
w14_s7_b6,binned,0.8251111111111111,674423.8080033098,142.94211009286536,False
w14_s7_b6,exponential,0.0,675455.5216928888,142.34030793954315,False
w14_s7_b6,exponential,0.41255555555555556,675472.036840414,142.34030793954315,False
w14_s7_b6,exponential,0.8251111111111111,674627.0677872561,142.34030793954315,False
w14_s7_b6,pooled,0.0,675349.3923207839,142.00812445922432,False
w14_s7_b6,pooled,0.41255555555555556,675365.9074683093,142.00812445922432,False
w14_s7_b6,pooled,0.8251111111111111,674520.9446685989,142.00812445922432,False
w28_s3_b3,binned,0.0,674891.3942650557,142.76294303667382,False
w28_s3_b3,binned,0.41255555555555556,674877.5536630432,142.76294303667382,False
w28_s3_b3,binned,0.8251111111111111,674109.2184518608,142.76294303667382,False
w28_s3_b3,exponential,0.0,674761.1902577942,141.75308756731084,False
w28_s3_b3,exponential,0.41255555555555556,674747.3496557816,141.75308756731084,False
w28_s3_b3,exponential,0.8251111111111111,673979.0144445994,141.75308756731084,False
w28_s3_b3,pooled,0.0,674624.8537225773,141.6894585498515,False
w28_s3_b3,pooled,0.41255555555555556,674611.0131205647,141.6894585498515,False
w28_s3_b3,pooled,0.8251111111111111,673842.6779093825,141.6894585498515,False
w28_s3_b6,binned,0.0,674730.0436582747,142.45193976347798,False
w28_s3_b6,binned,0.41255555555555556,674716.2032029949,142.45193976347798,False
w28_s3_b6,binned,0.8251111111111111,673947.8679159017,142.45193976347798,False
w28_s3_b6,exponential,0.0,674777.2814317362,142.0777947204278,False
w28_s3_b6,exponential,0.41255555555555556,674763.4409764565,142.0777947204278,False
w28_s3_b6,exponential,0.8251111111111111,673995.1056893632,142.0777947204278,False
w28_s3_b6,pooled,0.0,674589.6641432908,141.77227129293723,False
w28_s3_b6,pooled,0.41255555555555556,674575.8236880112,141.77227129293723,False
w28_s3_b6,pooled,0.8251111111111111,673807.4884009178,141.77227129293723,False
w28_s7_b3,binned,0.0,675041.9766009431,142.99431541900336,False
w28_s7_b3,binned,0.41255555555555556,675030.9075052891,142.99431541900336,False
w28_s7_b3,binned,0.8251111111111111,674263.1691118893,142.99431541900336,False
w28_s7_b3,exponential,0.0,674829.5784447835,141.75024034716668,False
w28_s7_b3,exponential,0.41255555555555556,674818.5093491295,141.75024034716668,False
w28_s7_b3,exponential,0.8251111111111111,674050.7709557296,141.75024034716668,False
w28_s7_b3,pooled,0.0,674708.1424970536,141.64889555775363,False
w28_s7_b3,pooled,0.41255555555555556,674697.0734013997,141.64889555775363,False
w28_s7_b3,pooled,0.8251111111111111,673929.3350079999,141.64889555775363,False
w28_s7_b6,binned,0.0,674965.7686398466,142.59570052250103,False
w28_s7_b6,binned,0.41255555555555556,674954.6980631241,142.59570052250103,False
w28_s7_b6,binned,0.8251111111111111,674186.9604623934,142.59570052250103,False
w28_s7_b6,exponential,0.0,674895.1963334307,142.17829509081346,False
w28_s7_b6,exponential,0.41255555555555556,674884.1257567082,142.17829509081346,False
w28_s7_b6,exponential,0.8251111111111111,674116.3881559774,142.17829509081346,False
w28_s7_b6,pooled,0.0,674687.8786865405,141.767126965986,False
w28_s7_b6,pooled,0.41255555555555556,674676.8081098179,141.767126965986,False
w28_s7_b6,pooled,0.8251111111111111,673909.0705090872,141.767126965986,False
