name,model,total_cash_cost_yuan,total_planned_cost_yuan,total_emergency_cost_yuan,total_emergency_purchase_kwh,total_unused_kwh,initial_kwh,terminal_kwh,day_end_at_min_count
candidate_P1_weighted28,P1_weighted28,16778009.95948355,15529893.286829138,1248116.6726544118,329826.6182712234,6013010.608041564,1199.9999999999995,6000.000000000002,0
candidate_P2_fourier_arima,P2_fourier_arima,16686528.973910334,15380031.752174834,1306497.2217354996,344289.03023621166,5666788.714978874,1199.9999999999995,6000.000000000002,0
candidate_P3_random_forest,P3_random_forest,14479309.67208748,13493129.764514083,986179.907573397,262346.7156085646,3073182.035505555,1199.9999999999995,6000.0,0
point_selected,P3_random_forest,15685540.276373291,12327615.27144089,3357925.004932402,858499.920583221,1908213.1851998523,1199.9999999999995,6000.000000000002,0
no_storage_selected,P3_random_forest,18263736.991959732,17382064.786994487,881672.2049652435,219945.53796467136,4488867.5853659855,1199.9999999999995,1199.9999999999995,334
enumerate_selected,P3_random_forest,14468190.507421032,13501144.861965952,967045.6454550794,256917.13413642847,3084739.1036006543,1199.9999999999995,5999.999999999998,0
v1_mechanism_matched_initial,P1_weighted28,16768748.037899675,15552029.88917241,1216718.1487272654,320323.1104300979,6027923.9113978045,1199.9999999999995,6000.0,333
terminal_0_8,P3_random_forest,14449627.668750782,13460907.09660147,988720.5721493122,263108.55765571556,3059954.7467693486,1199.9999999999995,6000.000000000003,333
terminal_1_2,P3_random_forest,14479309.67208748,13493129.764514083,986179.907573397,262346.7156085646,3073041.399384432,1199.9999999999995,6000.0,0
residual_0_8,P3_random_forest,14499353.540315455,13256732.750599172,1242620.7897162824,327945.60046676913,2774041.897437966,1199.9999999999995,6000.000000000002,0
residual_1_2,P3_random_forest,14526432.689039292,13730292.011103196,796140.6779360962,213420.82259327118,3380831.6026040413,1199.9999999999995,6000.000000000004,0
seed_20260913,P3_random_forest,14480081.33166852,13487069.171731118,993012.1599374034,264615.5034326407,3064254.505289574,1199.9999999999995,6000.000000000002,0
seed_20260914,P3_random_forest,14476083.864508826,13487870.994000928,988212.870507898,263295.95149755024,3061774.746632953,1199.9999999999995,6000.000000000002,0
roundtrip90,P3_random_forest,13972093.647674505,13010368.84549183,961724.8021826741,257365.49364528843,3144502.970357913,1199.999999999999,6000.000000000001,0
