date,planned_purchase_kwh,emergency_purchase_kwh,planned_plus_emergency_kwh,planned_cost_yuan,emergency_cost_yuan,actual_total_cost_yuan,initial_kwh,terminal_kwh,total_unused_kwh
2025-02-01,61426.7133831949,1.2067009300614018,61427.92008412496,31137.480615187236,4.3801604511231,31141.86077563836,1199.9999999999995,10799.999999999998,12329.744150791632
2025-02-02,94732.81722215752,30.63537018966018,94763.45259234718,60190.72471305715,161.36051818988665,60352.08523124704,10799.999999999998,10800.000000000002,11688.841309013838
2025-02-03,91302.16583691444,114.49489052157867,91416.66072743601,57635.984253920615,402.94405715922045,58038.928311079835,10800.000000000002,10799.999999999998,6515.970491482185
2025-02-04,89538.7009372471,1107.0053287241958,90645.70626597128,56420.095136321645,4582.127893064533,61002.22302938618,10799.999999999998,10799.999999999998,4853.651462978627
2025-02-05,88223.56213138791,713.0887291165491,88936.65086050445,55377.95907530219,2923.6426883082386,58301.60176361043,10799.999999999998,10799.999999999998,3585.164055331551
2025-02-06,88928.73023076818,433.6371596843829,89362.36739045256,55907.489978412916,1833.48730434439,57740.9772827573,10799.999999999998,10800.000000000004,4462.411175835008
2025-02-07,43775.230264637525,180.9063459368121,43956.13661057434,22558.334544735066,980.9137734554315,23539.248318190497,10800.000000000004,10800.000000000007,8261.058958102698
2025-02-08,41715.33804260928,202.95726002114748,41918.295302630424,21583.297689526902,838.3698207312736,22421.667510258176,10800.000000000007,10799.999999999996,6545.346103434519
2025-02-09,85880.84594496846,1141.6509111059656,87022.49685607443,53680.15571454186,4153.028914665377,57833.18462920724,10799.999999999996,10799.999999999995,2859.2480537285346
2025-02-10,86407.781471658,417.69059964663717,86825.47207130464,54231.90970956921,1102.5843125377914,55334.49402210701,10799.999999999995,10800.000000000002,7843.555743930561
2025-02-11,86702.60715043789,253.6539551562835,86956.26110559418,54166.64837397233,1207.2688219890265,55373.91719596136,10800.000000000002,10799.999999999996,7069.303300598381
2025-02-12,84825.94696098028,456.86972886857325,85282.81668984886,52977.67544078191,1845.101977104454,54822.77741788636,10799.999999999996,10800.0,5388.168409571331
2025-02-13,83298.86701169125,587.9747583809657,83886.84177007222,52181.31131299342,1881.705616569554,54063.016929562975,10800.0,10800.0,7973.0481354498
2025-02-14,37835.457083616304,1057.6790195624214,38893.136103178724,19666.689577654688,3493.084734976813,23159.7743126315,10800.0,10800.000000000004,5037.40352216087
2025-02-15,37915.69314978894,562.2361223662774,38477.92927215522,19641.920212554724,2257.4470839217443,21899.367296476466,10800.000000000004,10799.999999999996,5238.05042359529
2025-02-16,80693.19937684177,1601.7525424685316,82294.9519193103,49966.060792363096,6202.041329905249,56168.10212226835,10799.999999999996,10799.999999999996,2507.625080884547
2025-02-17,81643.53322742732,231.71241654378125,81875.24564397111,50521.29852689175,847.7161894885426,51369.01471638029,10799.999999999996,10799.999999999998,6289.71581063777
2025-02-18,80013.96833005804,437.89848407293914,80451.86681413098,49499.065964057736,1743.1653557813906,51242.23131983913,10799.999999999998,10799.999999999993,3957.9191521299913
2025-02-19,80370.10201100989,1000.5891830831076,81370.691194093,49743.16032389166,3531.0017393085827,53274.16206320024,10799.999999999993,10800.000000000004,4089.6971440929915
2025-02-20,79160.88035181892,866.0417519918847,80026.92210381081,49136.65130445923,2888.428488300002,52025.07979275923,10800.000000000004,10800.0,4632.121703810816
2025-02-21,36869.30363669706,264.63185866505796,37133.93549536212,19118.464592056407,815.4850523788368,19933.949644435244,10800.0,10800.000000000002,7520.34012869545
2025-02-22,36565.01755077149,473.7451979498558,37038.76274872135,18880.74494224864,1855.1406205240887,20735.885562772728,10800.000000000002,10800.0,5140.666532054678
2025-02-23,80193.44786053646,594.0561412550112,80787.50400179147,49459.56840259229,2203.2027451434396,51662.77114773573,10800.0,10799.999999999995,4853.983651791466
2025-02-24,78844.42403459974,480.1402830697811,79324.56431766952,48505.7769573854,2229.1805489404123,50734.957506325816,10799.999999999995,10800.0,6700.582885439793
2025-02-25,77911.6276223308,246.035433167603,78157.6630554984,47977.00404424969,809.0013410008729,48786.005385250566,10800.0,10800.0,7911.69553581824
2025-02-26,75804.41172825226,1128.576956075079,76932.98868432734,46701.99093935569,3540.1746591067745,50242.16559846246,10800.0,10799.999999999995,3700.92752688307
2025-02-27,75361.28141664653,644.2252573265937,76005.50667397311,46300.82655335794,3005.6052136229746,49306.43176698092,10799.999999999995,10799.999999999996,4671.529323946125
2025-02-28,35926.805563443,203.41581331851947,36130.22137676152,18526.591892671822,748.5482329945232,19275.140125666345,10799.999999999996,10800.000000000004,8761.21875655011
2025-03-01,35849.01117804542,379.3779555410932,36228.38913358651,18441.23821716707,1812.9551991093406,20254.19341627641,10800.000000000004,10800.000000000002,8487.765472577683
2025-03-02,77725.8545320029,3160.1817218311085,80886.036253834,47780.892519868576,11915.889546957926,59696.782066826505,10800.000000000002,10799.999999999995,4126.062520500675
2025-03-03,75262.56930724558,3339.5622385357647,78602.13154578135,46119.518160301246,13624.299853329641,59743.81801363089,10799.999999999995,10799.999999999998,2158.980260794624
2025-03-04,79027.94930754736,695.4358712061307,79723.3851787535,48887.25250211357,2547.0767567175526,51434.32925883112,10799.999999999998,10799.999999999996,6011.647986140571
2025-03-05,78020.40225277709,334.3608796812456,78354.76313245833,48190.84134644807,1137.101703207549,49327.943049655616,10799.999999999996,10800.000000000005,7735.465999585369
2025-03-06,76010.67210059187,307.28574026845183,76317.95784086031,46952.48913539965,963.6984713825195,47916.18760678217,10800.000000000005,10800.000000000005,5957.589096101649
2025-03-07,34640.12360496648,69.64194814135547,34709.765553107834,17932.067651790538,206.8341598731299,18138.90181166367,10800.000000000005,10800.0,9729.373088373815
2025-03-08,33666.42258021725,329.42365338038894,33995.846233597644,17533.841978269633,1256.3869154306517,18790.228893700285,10800.0,10800.000000000002,10869.152767552549
2025-03-09,76375.98395942152,782.9482538502862,77158.93221327181,46623.96105428008,3517.8733706991197,50141.8344249792,10800.000000000002,10799.999999999996,9420.512192160539
2025-03-10,72474.61930554843,3118.7939372375467,75593.41324278597,44272.28960600537,9088.24271316324,53360.532319168604,10799.999999999996,10799.999999999998,3147.8053797680577
2025-03-11,75277.38828949115,425.1450690806645,75702.53335857182,45823.90243186067,1608.3912779058428,47432.29370976651,10799.999999999998,10800.000000000007,7347.680660686427
2025-03-12,72339.76926999332,458.8473130150639,72798.61658300839,44129.46600153018,1650.7256469961414,45780.19164852632,10800.000000000007,10800.000000000004,6071.800587560131
2025-03-13,71237.61304336503,3976.1877423791743,75213.8007857442,43397.04417246125,13835.161097673737,57232.20527013498,10800.000000000004,10800.000000000005,3403.7495295522103
2025-03-14,32941.47063736509,212.7515827894639,33154.22222015455,16989.68327649436,747.4200404118644,17737.103316906225,10800.000000000005,10800.000000000004,13071.462903487896
2025-03-15,32863.12003893325,457.5935899053189,33320.713628838574,16938.869807874897,1672.919062150295,18611.788870025193,10800.000000000004,10800.000000000005,8343.255145505243
2025-03-16,75008.74890007665,409.59628152273115,75418.34518159938,45564.69369857172,1585.0248761117953,47149.71857468352,10800.000000000005,10800.000000000005,7681.491542406366
2025-03-17,74377.96850921564,154.57761946306215,74532.5461286787,45160.02783239666,763.6635282063284,45923.69136060299,10800.000000000005,10800.000000000002,12406.007226064557
2025-03-18,71410.8313300714,1078.749289755956,72489.58061982736,42976.99612379988,5146.206790984514,48123.20291478439,10800.000000000002,10800.000000000007,7243.457253979926
2025-03-19,71194.8217887946,201.9325988945174,71396.75438768911,43052.75487059467,923.4877377598661,43976.242608354536,10800.000000000007,10800.000000000007,7741.921873728265
2025-03-20,71527.71550916258,656.3184469978979,72184.03395616048,43278.484665563585,2705.910264266529,45984.394929830116,10800.000000000007,10800.000000000005,5800.77469945022
2025-03-21,31808.428523530965,318.5828260373759,32127.01134956834,16248.995750048887,1218.4691195470937,17467.46486959598,10800.000000000005,10799.999999999998,16039.172501167523
