mode,issue_hour,subset,points,independent_days,clipped_probability_mean,center_to_scenario_mean_abs_kw,scale_to_scenario_std_abs_kw,clipping_mean_increase_kw,clipping_variance_change_kw2,joint_covariance_before_kw2,joint_covariance_after_kw2,correlation_defined_points,joint_correlation_before,joint_correlation_after
binned,0,all,48096,334,0.13367730684464404,65.46737902977976,149.6650483655042,1.7601491240915115,-102.32029529983907,-8847.509423401358,-8800.876890118854,36664,-0.015045383113418416,-0.01113328735422841
binned,0,daylight,26880,334,0.029015531994047578,112.32146629810408,181.67971817614136,1.0681143215256717,-81.61391693503818,-15795.006257261495,-15769.237113103567,26733,-0.020239514287284297,-0.019535064993438725
binned,0,zero_pv,21216,334,0.2662804605015083,6.104734526925419,109.10347575474222,2.63693529928805,-128.55462082990354,-45.250991361363745,27.81479511064052,9931,-0.0010634368168766003,0.011483238839408608
binned,6,all,36072,334,0.08082532850964733,58.21615132624558,121.84868031495837,1.4954232439823683,-76.52828715062336,15522.237715478517,15558.496950114737,29691,0.042521241962847,0.04608142843433157
binned,6,daylight,25013,334,0.016499545236477,80.22826189892854,126.11764669906142,0.7200555641779376,-46.148110650532765,22402.09760208536,22423.854664843453,24950,0.05194918612551026,0.05259921453320084
binned,6,zero_pv,11059,334,0.22631595306989782,8.42964967559737,112.19322718487699,3.249132600610293,-145.2414940225617,-38.47621378244145,30.58371035441754,4741,-0.007094283634800894,0.011780908888499824
binned,12,all,24048,334,0.11099350777611441,42.149780027102494,87.43411636436295,1.6567075619710003,-69.95655954225376,1365.5929986389406,1398.8788939975902,17683,-0.0038241126899030845,0.0022343607351110405
binned,12,daylight,13278,334,0.023575180750112935,72.98279457802263,75.24957974494957,0.9727461369898327,-49.67092590240209,2490.2241791702245,2509.1048827327995,13218,0.004871763355016352,0.005727181463309463
binned,12,zero_pv,10770,334,0.21876886025998143,4.136709720034938,102.4560548260687,2.4999424552764737,-94.96609004085637,-20.93001111912578,30.115599807606763,4465,-0.02956702188626261,-0.008105640247044979
binned,18,all,12024,334,0.2063997005988024,12.309689767177142,98.42490567419172,1.856547695243247,-63.91356854573194,64.35326390323905,62.93777552009099,5872,-0.003540718441083563,0.006115419981371136
binned,18,daylight,1696,334,0.14170290389150944,70.89628422574165,91.68799381776421,4.02000947653415,-168.0120338218887,446.36146623578304,417.0195277483317,1648,0.02106798832762738,0.02115787926210096
binned,18,zero_pv,10328,334,0.21702380664213788,2.6889631790937374,99.53119948795053,1.5012774414603869,-46.819165262583034,1.6222500422790678,4.792669809489079,4224,-0.013141842672815478,0.0002465817013894229
