mode,issue_hour,lead_hour_bin,release_target_points,independent_days,sigma_mean_kw,R_mean,R_p10,R_p90
pooled,0,1,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,1,2004,334,95.08007137149063,0.8838770817765371,0.843785873782807,0.9327306528848902
exponential,0,1,2004,334,88.6627704720892,0.8973725547614511,0.8626190952801472,0.9416212073845394
pooled,0,2,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,2,2004,334,95.08007137149063,0.8838770817765371,0.843785873782807,0.9327306528848902
exponential,0,2,2004,334,91.17660375979125,0.8921449222870484,0.8554499691879527,0.9383720751682141
pooled,0,3,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,3,2004,334,95.08007137149063,0.8838770817765371,0.843785873782807,0.9327306528848902
exponential,0,3,2004,334,93.76249808393482,0.886685749446578,0.84766084370745,0.9350150421617178
pooled,0,4,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,4,2004,334,95.08007137149063,0.8838770817765371,0.843785873782807,0.9327306528848902
exponential,0,4,2004,334,96.4225404727455,0.8809885897772686,0.8398023254990905,0.9314709414737441
pooled,0,5,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,5,2004,334,95.08007137149063,0.8838770817765371,0.843785873782807,0.9327306528848902
exponential,0,5,2004,334,99.15887898252222,0.8750472205073385,0.8314742729601137,0.9277687478592245
pooled,0,6,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,6,2004,334,95.08007137149063,0.8838770817765371,0.843785873782807,0.9327306528848902
exponential,0,6,2004,334,101.97372449830235,0.8688556912552344,0.8228632928512272,0.923931734528701
pooled,0,7,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,7,2004,334,455.3265595405825,0.2598922350017835,0.2019965966325345,0.3403657333615839
exponential,0,7,2004,334,354.53123677640895,0.3623968904681593,0.3092532451049607,0.4558802451767109
