mode,issue_hour,lead_hour_bin,subset,points,independent_days,crps,coverage,width,interval_score,mae,raw_mae,center_mae,rmse,raw_rmse,center_rmse
binned,0,0,all,48096,334,144.93961096181428,0.833416500332668,760.430148315648,1111.6284600547126,201.23607050719846,206.64540654662886,203.47812465865002,392.66450923550025,388.7782724662935,384.04016884442007
binned,0,0,daylight,26880,334,258.12250314288246,0.8063988095238095,1357.3612802579578,1980.0495328546217,358.26782083064194,364.63357862878206,357.5153694622834,525.0806286089698,519.0413190016599,512.2514300000676
binned,0,0,zero_pv,21216,334,1.5404715468860748,0.8676470588235294,4.137311465662549,11.3664673670452,2.281816703740816,6.4793966687877145,8.317814500200573,14.766231514184788,36.369874872073645,43.5154720453269
binned,0,1,all,2004,334,0.32969312014448665,0.8502994011976048,0.7183987131699615,2.3454887501741646,0.4629505051899084,0.0,1.04905135962043,1.1005249967036683,0.0,2.2268519992148343
binned,0,1,zero_pv,2004,334,0.32969312014448665,0.8502994011976048,0.7183987131699615,2.3454887501741646,0.4629505051899084,0.0,1.04905135962043,1.1005249967036683,0.0,2.2268519992148343
binned,0,2,all,2004,334,0.32969312014448665,0.8502994011976048,0.7183987131699615,2.3454887501741646,0.4629505051899084,0.0,1.04905135962043,1.1005249967036683,0.0,2.2268519992148343
binned,0,2,zero_pv,2004,334,0.32969312014448665,0.8502994011976048,0.7183987131699615,2.3454887501741646,0.4629505051899084,0.0,1.04905135962043,1.1005249967036683,0.0,2.2268519992148343
binned,0,3,all,2004,334,0.32969312014448665,0.8502994011976048,0.7183987131699615,2.3454887501741646,0.4629505051899084,0.0,1.04905135962043,1.1005249967036683,0.0,2.2268519992148343
binned,0,3,zero_pv,2004,334,0.32969312014448665,0.8502994011976048,0.7183987131699615,2.3454887501741646,0.4629505051899084,0.0,1.04905135962043,1.1005249967036683,0.0,2.2268519992148343
binned,0,4,all,2004,334,0.32998119133618337,0.8173652694610778,0.719523918724439,2.3485317113191715,0.4632468630753291,0.0008103293413173656,1.0489160801793123,1.1002562133783322,0.0036067115581195353,2.22575242498185
binned,0,4,daylight,193,137,0.7525925588195889,0.41968911917098445,1.7058853032163657,5.308307250347744,1.0633724817378836,0.008413989637305703,2.373782726599374,1.9310814221825632,0.011622019925566251,3.7800321139963997
binned,0,4,zero_pv,1811,334,0.2849430941941086,0.8597459966869133,0.6144064437344107,2.033105604730261,0.39929090261046224,0.0,0.9077237760605531,0.9706510880752299,0.0,1.9897661351923828
binned,0,5,all,2004,334,0.43140399138808583,0.7974051896207585,1.0198975302284237,3.2068666867179036,0.5886566139545976,0.2167715568862276,1.1439086145553232,1.4039136900264604,0.8047901572739462,2.394890432285227
binned,0,5,daylight,490,266,0.7057527082398758,0.6,1.6491735161073964,5.376971844107987,0.880913716910236,0.5885191666666668,1.5265402257920841,1.7477432927086551,1.2372433153206754,2.5901582953161078
binned,0,5,zero_pv,1514,334,0.34261213454701805,0.8612945838837517,0.8162348927907106,2.5045208960170156,0.4940687801050177,0.09645694077498898,1.0200714352250648,1.2728944201786012,0.601565188144512,2.328187445722515
binned,0,6,all,2004,334,18.551387565152215,0.689620758483034,63.3247254876218,139.79456749223675,25.918514948600283,45.67505609614108,43.50422477252855,45.567526168029694,80.49381642022264,76.68854873403595
binned,0,6,daylight,1184,334,26.796915419947624,0.6368243243243243,96.93205751245888,203.842377885204,37.42236077085035,59.80641067004512,57.37364250634962,54.639939806736145,90.80097260807294,86.93336466824974
binned,0,6,zero_pv,820,258,6.6456497845695335,0.7658536585365854,14.799016807857011,47.31577785165967,9.308083907692833,25.2707587601626,23.47813867881614,27.635370181700267,62.689353122684494,58.82817305739594
binned,0,7,all,2004,334,64.39542369011815,0.7599800399201597,283.2648768571773,478.53471682955325,91.3112808264578,115.9576326430472,152.639733899481,123.664820174865,150.52842958664354,188.38880012594856
binned,0,7,daylight,1715,334,72.23566715403743,0.7504373177842566,320.5110880934542,536.7536398860367,101.77884203782548,122.30061999028187,143.48496564504472,132.14963851751588,155.51063439532427,179.6516380701479
