month,total_fee_yuan,normal_fee_yuan,emergency_fee_yuan,emergency_kwh,unused_kwh,throughput_kwh,adjust_up_kwh,adjust_down_kwh,adjusted_intervals
2025-02,1492139.7725591306,1421270.698989387,70869.07356974365,17517.42478353087,427560.02357774053,1191255.7119723447,17283.390483915766,67092.94661066517,850
2025-03,1403266.1580664376,1330473.1238553599,72793.03421107755,19373.616211432578,503066.1607343868,1244636.6928197688,22527.38294803326,79955.0933588552,784
2025-04,1151399.1593741379,1088680.7055183179,62718.453855820095,16445.200820561324,470329.76990208146,1107990.0079667221,22490.748085188232,56594.73426543466,574
2025-05,1249289.3306479992,1169426.285809095,79863.0448389042,19375.55913799982,609247.1059785271,1096622.9649691358,11742.092880597325,81404.09859534823,585
2025-06,1620298.1166306955,1496001.117912475,124296.9987182206,33517.01878618174,509997.6342040459,1222826.1348245451,19883.84937631348,72413.29047589909,794
2025-07,1795972.1816893748,1673265.469003894,122706.7126854809,33171.25402196454,551636.368934176,1241815.937513068,29071.8421560965,92687.14178285965,844
2025-08,1559767.5941118842,1503596.079382695,56171.51472918913,14309.670663810026,616452.6984603865,1157595.7368290601,14379.512188293214,117453.79919136602,740
2025-09,1364021.9959301362,1281438.2360682024,82583.75986193378,22248.538619945026,519279.35938457743,1159255.6072195997,22924.563030597546,73017.23000254377,621
2025-10,1401620.7348854188,1329599.5781747538,72021.15671066497,18420.43678443201,513604.9105554708,1230765.986546869,24739.221060003136,105736.18206286538,768
2025-11,1579558.3681515995,1510728.1060446617,68830.26210693791,17391.06143516918,482219.76290041715,1275455.5913185554,15957.681628498658,47692.06938307872,683
2025-12,2010379.9558346516,1910721.7309649976,99658.22486965399,26702.25671740957,467980.5920714945,1410925.1920197234,14373.906344336223,51316.77686301371,841
