base_mask,added_hour,new_mask,total_saving_yuan,mean_daily_saving_yuan,mean_daily_ci_low_yuan,mean_daily_ci_high_yuan,days_with_saving,bootstrap_block_days,bootstrap_draws
0,6,1,244771.05560082084,732.847471858745,513.1387576917358,970.5480477859945,237,7,2000
0,12,2,236807.2995633103,709.0038909081147,542.9420800534455,884.0055456584076,262,7,2000
0,18,4,-2123.7811646324953,-6.358626241414656,-17.343791255547664,3.92120742432662,148,7,2000
1,12,3,170510.16460597707,510.50947486819484,409.57676256896383,635.7011128565839,239,7,2000
1,18,5,1196.9612219978808,3.583716233526589,-4.955503722090876,12.636780909923614,152,7,2000
2,6,3,178473.92064348763,534.3530558188252,412.0774536691729,670.5296572168613,246,7,2000
2,18,6,-3243.6980564201585,-9.711670827605266,-21.490225726210976,0.5970544162761562,130,7,2000
3,18,7,-3217.449566211275,-9.633082533566691,-21.41258957918977,0.7844555156446642,130,7,2000
4,6,5,248091.79798745122,742.7898143336863,523.6088854875409,979.2049391558197,236,7,2000
4,12,6,235687.38267152265,705.6508463219241,541.2072953864734,878.7287946334392,265,7,2000
5,12,7,166095.75381776795,497.2926761011017,394.6745063892461,622.2154863023562,240,7,2000
6,6,7,178500.16913369653,534.4316441128639,412.07542819852847,670.6396163855919,246,7,2000
